age,gender,topik_level,highest_degree,major_field,university_type,gpa,experience_years,num_projects,internships,certifications,has_portfolio,github_level,job_field,resume_length,cover_letter_score,tailored_resume,english_level,leadership_experience,military_status,pass_screening
22.0,Female,5.0,Master,Business,SKY,3.75,2.9,2.0,1.0,3.0,1.0,Medium,Software Dev,1.0,5.0,,,1.0,Complete,
32.0,,4.0,Bachelor,CS,Top10,3.15,2.1,5.0,,,1.0,Low,Data Analyst,1.0,9.0,1.0,High,0.0,Complete,1.0
27.0,Female,0.0,Bachelor,Data Science,,3.41,0.9,3.0,1.0,1.0,1.0,Medium,Data Analyst,1.0,4.0,1.0,Medium,0.0,Complete,0.0
31.0,Female,2.0,Bachelor,Data Science,Other,3.22,3.4,3.0,0.0,1.0,1.0,Medium,Data Scientist,1.0,7.0,0.0,High,1.0,Exempt,0.0
33.0,Male,6.0,PhD,CS,Foreign,3.64,3.3,4.0,1.0,0.0,0.0,Medium,Software Dev,1.0,6.0,,Low,0.0,Complete,1.0
22.0,Male,1.0,Bachelor,Economics,,3.46,0.9,2.0,1.0,0.0,,High,PM,1.0,4.0,1.0,High,,Complete,0.0
29.0,Male,0.0,Bachelor,Industrial Eng,Other,3.63,1.8,5.0,0.0,2.0,1.0,Low,Data Scientist,2.0,5.0,1.0,Low,0.0,Exempt,0.0
34.0,Male,3.0,Bachelor,Economics,Other,3.57,1.5,2.0,1.0,0.0,1.0,High,PM,1.0,9.0,1.0,Medium,0.0,Exempt,1.0
32.0,Male,,Master,CS,Foreign,3.06,0.7,1.0,1.0,0.0,1.0,High,,,9.0,,Medium,,Not Applicable,0.0
25.0,Female,0.0,Bachelor,Business,Regional,3.47,2.4,2.0,1.0,3.0,0.0,High,Software Dev,1.0,8.0,0.0,Medium,0.0,Exempt,0.0
30.0,Female,2.0,Bachelor,Industrial Eng,Foreign,3.33,1.9,4.0,1.0,0.0,,Medium,Software Dev,,5.0,0.0,Low,1.0,Exempt,0.0
24.0,Male,0.0,Bachelor,Economics,Other,2.93,1.8,2.0,0.0,1.0,0.0,Low,Software Dev,1.0,6.0,0.0,Low,1.0,Complete,0.0
26.0,Male,6.0,Bachelor,Business,Foreign,3.99,1.9,5.0,1.0,2.0,0.0,Low,PM,1.0,5.0,0.0,High,1.0,Not Applicable,1.0
25.0,Female,1.0,Master,Business,Top10,3.74,-0.1,1.0,0.0,3.0,1.0,Low,Data Scientist,1.0,9.0,1.0,Medium,0.0,Not Applicable,0.0
22.0,Male,2.0,Bachelor,Data Science,Foreign,3.37,1.8,2.0,1.0,3.0,,Low,PM,1.0,9.0,0.0,Medium,1.0,Complete,1.0
32.0,Male,3.0,Master,Data Science,Foreign,3.49,2.0,2.0,1.0,,1.0,Low,PM,2.0,6.0,1.0,Medium,0.0,Exempt,
32.0,Female,3.0,Master,Economics,Top10,3.69,1.4,5.0,1.0,0.0,0.0,Low,Data Analyst,1.0,9.0,1.0,Medium,1.0,Complete,1.0
29.0,Male,2.0,Bachelor,Industrial Eng,Regional,3.01,2.6,3.0,1.0,2.0,1.0,Low,PM,1.0,6.0,0.0,High,1.0,Not Applicable,0.0
30.0,Female,2.0,Bachelor,Data Science,Top10,3.64,0.6,3.0,1.0,2.0,1.0,Medium,Data Scientist,1.0,4.0,1.0,Low,0.0,Exempt,0.0
23.0,Male,3.0,Bachelor,Economics,Regional,3.56,1.6,5.0,1.0,2.0,1.0,Low,Data Scientist,2.0,8.0,0.0,Low,1.0,Not Applicable,1.0
33.0,Female,2.0,Bachelor,Data Science,SKY,3.63,1.8,1.0,1.0,1.0,,Low,Data Scientist,2.0,4.0,1.0,High,1.0,Exempt,0.0
33.0,Female,2.0,Bachelor,CS,Other,3.65,2.9,4.0,0.0,0.0,1.0,Low,Data Analyst,1.0,9.0,0.0,Low,0.0,Exempt,1.0
30.0,Female,4.0,Bachelor,CS,Other,3.66,1.9,4.0,1.0,1.0,1.0,High,Data Analyst,1.0,4.0,1.0,High,1.0,Complete,1.0
34.0,Female,2.0,Bachelor,Economics,Foreign,3.67,1.5,1.0,1.0,2.0,1.0,Low,Data Scientist,1.0,8.0,1.0,Low,0.0,Exempt,0.0
30.0,Female,5.0,Master,Business,,3.96,2.5,3.0,0.0,3.0,0.0,Low,,1.0,6.0,1.0,Medium,1.0,Not Applicable,1.0
28.0,Male,4.0,Bachelor,Economics,Foreign,3.26,1.9,1.0,1.0,2.0,0.0,High,Software Dev,1.0,5.0,1.0,Low,0.0,Complete,0.0
34.0,,2.0,Master,Data Science,Foreign,3.46,-0.4,3.0,1.0,2.0,1.0,Medium,Data Scientist,2.0,8.0,1.0,High,0.0,Complete,0.0
23.0,Female,0.0,Bachelor,Economics,Other,3.82,4.0,1.0,0.0,0.0,1.0,Low,PM,1.0,8.0,1.0,High,1.0,Not Applicable,0.0
22.0,Male,5.0,Bachelor,Industrial Eng,Regional,3.61,1.5,1.0,1.0,1.0,1.0,Medium,PM,1.0,4.0,1.0,Low,0.0,Complete,0.0
26.0,Male,2.0,Bachelor,Economics,Regional,3.95,1.6,1.0,1.0,2.0,0.0,Medium,Data Scientist,1.0,9.0,0.0,Medium,0.0,Exempt,0.0
30.0,Female,5.0,Master,CS,Other,3.46,2.4,1.0,1.0,2.0,1.0,Low,Software Dev,1.0,9.0,1.0,High,0.0,Complete,1.0
29.0,Female,3.0,Bachelor,Industrial Eng,SKY,3.01,0.7,1.0,1.0,0.0,1.0,Medium,Data Analyst,1.0,7.0,1.0,Medium,0.0,Not Applicable,0.0
27.0,Female,6.0,Bachelor,CS,Top10,3.41,2.6,,1.0,3.0,1.0,,Software Dev,1.0,4.0,1.0,High,0.0,Complete,1.0
25.0,Male,4.0,Bachelor,Industrial Eng,Top10,3.19,2.9,4.0,0.0,0.0,0.0,,PM,2.0,6.0,0.0,Medium,1.0,Complete,0.0
26.0,Male,6.0,Bachelor,Business,Foreign,3.67,2.3,3.0,1.0,0.0,1.0,Medium,Software Dev,2.0,9.0,1.0,Low,1.0,Not Applicable,
27.0,Male,6.0,Bachelor,CS,Regional,3.28,1.8,3.0,1.0,2.0,0.0,Low,PM,1.0,7.0,1.0,High,1.0,Not Applicable,1.0
34.0,,4.0,Bachelor,Business,SKY,3.52,2.2,2.0,,0.0,0.0,Low,Data Analyst,2.0,8.0,1.0,,0.0,Not Applicable,0.0
34.0,Male,6.0,Master,Economics,Foreign,3.42,3.5,5.0,1.0,0.0,0.0,Low,Data Scientist,1.0,7.0,1.0,Low,0.0,Exempt,1.0
23.0,Male,4.0,,Business,,3.37,3.1,2.0,0.0,1.0,1.0,Medium,Data Scientist,1.0,5.0,0.0,Medium,0.0,Exempt,0.0
32.0,Female,5.0,Master,Industrial Eng,SKY,3.33,1.6,5.0,1.0,3.0,0.0,Low,Software Dev,1.0,8.0,1.0,Medium,1.0,Not Applicable,1.0
34.0,Male,1.0,Bachelor,Data Science,Top10,3.24,1.7,,1.0,2.0,1.0,Low,Data Analyst,1.0,7.0,0.0,Low,1.0,Not Applicable,0.0
30.0,Male,0.0,Bachelor,Economics,SKY,3.45,2.1,4.0,1.0,3.0,0.0,Medium,Data Analyst,1.0,6.0,1.0,Low,0.0,Exempt,0.0
23.0,Male,3.0,Master,Economics,SKY,3.28,1.3,3.0,1.0,0.0,0.0,Low,Data Analyst,2.0,8.0,1.0,Medium,0.0,Exempt,
31.0,Male,2.0,Master,Industrial Eng,Regional,3.85,3.2,4.0,1.0,1.0,0.0,Medium,Data Scientist,1.0,9.0,1.0,Medium,1.0,Not Applicable,1.0
23.0,Female,6.0,Master,Business,Other,3.17,2.2,3.0,0.0,1.0,1.0,Medium,Software Dev,1.0,5.0,1.0,Medium,1.0,Exempt,0.0
26.0,Male,2.0,Master,Economics,Foreign,3.63,1.7,5.0,1.0,3.0,0.0,Medium,Data Analyst,1.0,7.0,1.0,Low,0.0,Complete,1.0
27.0,Male,3.0,Bachelor,Business,Foreign,3.65,2.5,5.0,1.0,3.0,0.0,Low,Software Dev,1.0,8.0,1.0,Medium,0.0,Complete,1.0
22.0,Male,2.0,Bachelor,Economics,Other,3.08,0.3,3.0,1.0,1.0,1.0,Medium,Data Scientist,1.0,4.0,1.0,Low,1.0,Exempt,0.0
27.0,Female,0.0,Bachelor,,Foreign,3.5,2.4,5.0,1.0,1.0,1.0,Low,PM,1.0,7.0,1.0,Medium,1.0,,1.0
,Male,4.0,Bachelor,CS,Other,3.63,2.1,5.0,1.0,0.0,0.0,Low,PM,1.0,4.0,1.0,Medium,0.0,Exempt,0.0
32.0,Female,5.0,Bachelor,Industrial Eng,Foreign,,2.6,2.0,0.0,0.0,0.0,Medium,PM,1.0,7.0,1.0,High,1.0,Not Applicable,0.0
33.0,Male,4.0,Bachelor,Economics,SKY,3.58,2.3,3.0,1.0,0.0,0.0,Low,Data Scientist,1.0,4.0,1.0,Low,0.0,Not Applicable,
22.0,Male,2.0,Bachelor,Industrial Eng,Regional,3.73,3.1,1.0,1.0,1.0,1.0,Medium,Data Analyst,2.0,7.0,1.0,Low,0.0,Exempt,1.0
28.0,Male,2.0,Bachelor,Economics,Other,3.68,2.1,5.0,0.0,0.0,1.0,Low,Software Dev,1.0,5.0,0.0,Medium,0.0,Not Applicable,0.0
30.0,Female,2.0,Bachelor,CS,Other,3.63,3.6,4.0,0.0,1.0,1.0,High,Data Analyst,2.0,6.0,1.0,High,,Exempt,1.0
33.0,Female,3.0,PhD,Business,Foreign,2.94,1.3,5.0,1.0,0.0,1.0,Medium,PM,1.0,5.0,1.0,High,1.0,,0.0
30.0,Male,1.0,Bachelor,Industrial Eng,SKY,3.41,0.8,3.0,0.0,1.0,0.0,Low,Data Scientist,1.0,,0.0,Low,0.0,Not Applicable,0.0
22.0,Male,6.0,Master,Data Science,Top10,3.58,2.2,1.0,1.0,1.0,0.0,High,Software Dev,1.0,7.0,1.0,Medium,0.0,Complete,1.0
31.0,Male,2.0,Bachelor,CS,Regional,3.62,3.2,4.0,1.0,1.0,0.0,Medium,Software Dev,1.0,5.0,0.0,High,1.0,Exempt,0.0
22.0,Female,,Bachelor,CS,Regional,3.86,2.2,5.0,0.0,2.0,1.0,Low,PM,1.0,8.0,,Medium,0.0,Complete,1.0
33.0,Male,5.0,Master,Business,SKY,3.3,2.1,1.0,0.0,3.0,0.0,High,Data Scientist,1.0,4.0,1.0,Medium,1.0,Not Applicable,0.0
24.0,Male,3.0,Bachelor,Data Science,SKY,3.72,1.6,5.0,1.0,1.0,1.0,High,PM,1.0,4.0,,Medium,0.0,Not Applicable,1.0
25.0,Female,3.0,Bachelor,Industrial Eng,SKY,3.29,0.7,5.0,0.0,2.0,1.0,Medium,Software Dev,1.0,6.0,0.0,Low,0.0,Not Applicable,0.0
31.0,Female,2.0,Bachelor,Industrial Eng,Regional,3.9,3.7,4.0,1.0,0.0,1.0,Low,Data Scientist,1.0,6.0,0.0,Medium,0.0,Not Applicable,1.0
,Female,2.0,Bachelor,CS,Foreign,3.37,2.1,2.0,1.0,3.0,0.0,Low,Software Dev,1.0,8.0,1.0,Low,1.0,Not Applicable,0.0
26.0,Male,4.0,Bachelor,CS,Other,3.19,1.2,1.0,0.0,0.0,,Medium,,1.0,7.0,1.0,Low,0.0,Complete,0.0
25.0,Male,,Master,,Regional,4.21,2.1,5.0,1.0,3.0,1.0,Low,PM,2.0,7.0,0.0,Medium,1.0,Not Applicable,1.0
30.0,Male,3.0,Bachelor,Data Science,Other,2.95,1.9,5.0,1.0,3.0,1.0,Medium,Data Scientist,1.0,,1.0,Medium,1.0,Not Applicable,1.0
34.0,Male,2.0,Bachelor,Data Science,Foreign,3.23,2.9,4.0,1.0,1.0,0.0,Medium,Data Scientist,1.0,8.0,1.0,High,1.0,Complete,1.0
31.0,Female,2.0,Bachelor,Industrial Eng,Top10,3.23,2.5,2.0,1.0,3.0,1.0,Low,PM,1.0,5.0,1.0,Medium,0.0,Exempt,0.0
33.0,Female,3.0,Bachelor,Industrial Eng,SKY,3.8,1.5,4.0,0.0,2.0,0.0,Low,Data Scientist,1.0,4.0,1.0,Medium,1.0,Exempt,0.0
30.0,Female,4.0,Bachelor,Economics,Regional,3.75,2.8,1.0,1.0,2.0,1.0,High,Software Dev,1.0,6.0,1.0,Low,0.0,Not Applicable,1.0
32.0,Male,5.0,,,Top10,3.99,3.4,5.0,0.0,3.0,,Low,PM,2.0,9.0,1.0,Medium,0.0,,1.0
31.0,Male,0.0,,Data Science,Regional,3.57,2.2,2.0,1.0,0.0,1.0,,PM,1.0,7.0,1.0,Low,1.0,Exempt,0.0
33.0,Male,3.0,Master,Industrial Eng,SKY,3.17,1.0,3.0,1.0,2.0,1.0,Low,Data Scientist,1.0,8.0,1.0,High,0.0,Complete,1.0
22.0,Male,6.0,Master,Business,Foreign,3.21,0.9,2.0,1.0,1.0,0.0,Low,PM,2.0,5.0,0.0,Medium,1.0,Not Applicable,0.0
33.0,Male,0.0,Bachelor,CS,Other,3.25,2.0,5.0,0.0,3.0,0.0,Medium,PM,1.0,4.0,0.0,Medium,0.0,Complete,0.0
28.0,Female,,Master,Business,SKY,2.99,1.3,3.0,1.0,0.0,1.0,Medium,Data Analyst,2.0,6.0,0.0,Medium,0.0,Exempt,0.0
33.0,Female,3.0,Master,Data Science,Regional,4.17,2.2,5.0,,3.0,1.0,High,Software Dev,1.0,7.0,1.0,Medium,1.0,Complete,1.0
24.0,Male,4.0,Bachelor,CS,Regional,3.21,2.0,1.0,0.0,1.0,0.0,,Data Scientist,1.0,4.0,1.0,Low,0.0,Complete,0.0
34.0,Male,3.0,Bachelor,Economics,Top10,,3.7,1.0,,1.0,1.0,Medium,Data Analyst,1.0,6.0,0.0,Low,1.0,Not Applicable,0.0
22.0,Female,0.0,Bachelor,CS,,3.95,1.4,3.0,0.0,2.0,0.0,Low,PM,1.0,9.0,1.0,Medium,0.0,Not Applicable,0.0
,Female,3.0,Master,Industrial Eng,SKY,3.3,1.1,,0.0,0.0,1.0,Low,Software Dev,1.0,7.0,1.0,High,0.0,Not Applicable,0.0
23.0,Male,2.0,Bachelor,CS,Top10,3.38,0.6,3.0,1.0,1.0,1.0,High,Data Analyst,1.0,9.0,,Medium,0.0,Complete,1.0
27.0,Male,3.0,Master,Business,Foreign,3.36,1.8,2.0,1.0,2.0,1.0,Medium,Data Analyst,1.0,7.0,1.0,Medium,1.0,Not Applicable,1.0
26.0,Male,2.0,Bachelor,Data Science,Other,3.49,3.3,5.0,1.0,0.0,0.0,High,Data Scientist,2.0,6.0,1.0,Medium,0.0,Complete,1.0
25.0,Female,3.0,Bachelor,Data Science,Regional,3.63,1.2,1.0,1.0,3.0,0.0,Medium,PM,2.0,9.0,0.0,High,,Not Applicable,0.0
33.0,Female,2.0,Bachelor,Business,SKY,3.0,1.9,1.0,1.0,2.0,0.0,Medium,Software Dev,1.0,5.0,1.0,Low,0.0,Not Applicable,0.0
24.0,Male,4.0,Bachelor,Industrial Eng,Top10,3.26,2.8,4.0,1.0,3.0,1.0,Medium,Software Dev,2.0,9.0,1.0,Low,1.0,Not Applicable,1.0
33.0,Female,0.0,PhD,Economics,Foreign,3.11,2.2,1.0,1.0,3.0,1.0,Medium,PM,1.0,6.0,0.0,Medium,0.0,Complete,0.0
23.0,Male,3.0,Bachelor,CS,Foreign,3.27,0.2,3.0,1.0,2.0,1.0,High,PM,1.0,4.0,1.0,High,1.0,Exempt,0.0
32.0,,,Master,CS,Other,3.96,,1.0,1.0,0.0,1.0,Medium,PM,1.0,9.0,0.0,High,0.0,Complete,1.0
34.0,Female,1.0,PhD,Industrial Eng,Other,3.5,1.6,1.0,1.0,1.0,0.0,Low,Software Dev,1.0,5.0,0.0,High,1.0,Not Applicable,0.0
24.0,Female,3.0,Bachelor,Industrial Eng,Top10,3.28,-0.3,5.0,1.0,3.0,1.0,Medium,Data Analyst,1.0,7.0,1.0,Medium,1.0,Not Applicable,0.0
34.0,Female,0.0,Master,Economics,Other,3.86,2.2,2.0,0.0,3.0,0.0,Medium,PM,1.0,8.0,1.0,Low,1.0,Not Applicable,0.0
32.0,Female,4.0,Bachelor,Industrial Eng,Regional,3.97,2.3,1.0,1.0,,0.0,Low,Data Scientist,1.0,8.0,0.0,Low,0.0,Exempt,0.0
30.0,Male,2.0,Bachelor,Industrial Eng,Other,3.81,3.1,2.0,1.0,3.0,1.0,Medium,Software Dev,2.0,8.0,1.0,Medium,1.0,Complete,1.0
22.0,Male,0.0,Bachelor,Data Science,SKY,3.5,1.6,3.0,,3.0,0.0,Low,Data Analyst,1.0,9.0,,Medium,0.0,Exempt,0.0
29.0,Female,2.0,Bachelor,CS,Regional,3.71,2.1,4.0,1.0,0.0,1.0,Low,Software Dev,1.0,8.0,1.0,Medium,,Complete,1.0
24.0,Female,2.0,Bachelor,Economics,Foreign,3.7,1.1,5.0,1.0,1.0,0.0,Low,PM,1.0,5.0,0.0,High,0.0,Exempt,
24.0,Female,4.0,Bachelor,,Other,3.72,1.6,3.0,1.0,1.0,1.0,Medium,Data Scientist,1.0,5.0,,Medium,1.0,Not Applicable,0.0
26.0,Female,0.0,PhD,Economics,Other,4.03,3.6,3.0,1.0,1.0,0.0,Low,Data Analyst,1.0,9.0,0.0,Medium,1.0,Complete,1.0
27.0,,4.0,Bachelor,Industrial Eng,Foreign,3.08,0.7,3.0,1.0,0.0,0.0,Medium,Data Scientist,1.0,4.0,1.0,Low,1.0,Complete,0.0
27.0,Female,0.0,Bachelor,Data Science,Top10,3.34,1.2,5.0,1.0,1.0,0.0,High,PM,1.0,7.0,0.0,Low,0.0,Not Applicable,0.0
34.0,,4.0,Bachelor,CS,Regional,3.76,2.9,2.0,0.0,0.0,0.0,Medium,Data Scientist,2.0,7.0,1.0,Medium,1.0,Exempt,0.0
31.0,Male,4.0,Bachelor,Economics,Top10,3.37,1.4,2.0,1.0,3.0,1.0,Low,Data Analyst,1.0,6.0,0.0,Medium,1.0,Not Applicable,0.0
27.0,Male,1.0,Bachelor,Data Science,SKY,3.16,2.2,,1.0,,0.0,Low,Data Analyst,1.0,6.0,1.0,Low,0.0,Exempt,0.0
25.0,Male,3.0,PhD,Economics,Regional,3.49,1.7,2.0,1.0,3.0,1.0,Medium,PM,1.0,5.0,1.0,Low,0.0,Exempt,1.0
25.0,Male,0.0,Master,Economics,SKY,3.25,,,1.0,0.0,1.0,Low,Software Dev,1.0,8.0,1.0,Medium,0.0,,0.0
29.0,Male,2.0,Bachelor,Industrial Eng,Regional,3.38,0.4,1.0,0.0,3.0,1.0,Low,Software Dev,1.0,8.0,0.0,Medium,1.0,Exempt,0.0
22.0,,3.0,Master,Economics,Regional,3.39,1.7,1.0,1.0,3.0,1.0,Low,Software Dev,1.0,5.0,0.0,Medium,1.0,Exempt,0.0
30.0,Male,4.0,Bachelor,CS,Regional,3.2,2.1,2.0,1.0,1.0,0.0,Low,Software Dev,2.0,9.0,1.0,Medium,1.0,Complete,1.0
26.0,Male,2.0,Bachelor,CS,Regional,3.96,2.3,1.0,0.0,0.0,0.0,Low,Software Dev,1.0,,1.0,Medium,0.0,Not Applicable,0.0
27.0,Female,3.0,Bachelor,Industrial Eng,,3.45,-1.2,3.0,0.0,1.0,1.0,High,,2.0,6.0,,Low,1.0,Complete,0.0
31.0,Female,5.0,Bachelor,Economics,Foreign,3.72,1.2,3.0,0.0,1.0,1.0,High,PM,1.0,7.0,1.0,Low,1.0,Not Applicable,1.0
28.0,Female,0.0,Bachelor,CS,Foreign,3.51,,4.0,1.0,2.0,1.0,Low,Data Scientist,2.0,6.0,,High,1.0,Complete,0.0
22.0,,5.0,Bachelor,Industrial Eng,Regional,3.36,2.2,3.0,0.0,1.0,0.0,Low,Data Scientist,1.0,6.0,1.0,Medium,0.0,Not Applicable,0.0
26.0,Female,3.0,Master,Economics,Other,3.6,2.5,3.0,0.0,0.0,1.0,High,Data Scientist,1.0,5.0,1.0,Low,0.0,Exempt,0.0
28.0,Male,6.0,Bachelor,Industrial Eng,,3.26,1.5,4.0,1.0,3.0,1.0,Low,Software Dev,1.0,,1.0,Medium,0.0,Complete,1.0
24.0,Female,4.0,Bachelor,Data Science,Regional,3.02,1.6,4.0,1.0,1.0,1.0,Medium,Data Scientist,1.0,4.0,1.0,Low,0.0,Complete,0.0
34.0,Male,2.0,Bachelor,Business,Foreign,3.0,4.2,5.0,1.0,3.0,1.0,High,PM,1.0,5.0,1.0,Low,0.0,Complete,1.0
33.0,Female,3.0,Bachelor,Business,Regional,3.67,2.8,5.0,1.0,1.0,1.0,Medium,Software Dev,1.0,5.0,1.0,High,0.0,Not Applicable,1.0
29.0,Male,4.0,Bachelor,Industrial Eng,SKY,3.34,1.9,,1.0,3.0,0.0,Low,Data Scientist,2.0,6.0,1.0,Medium,0.0,Exempt,1.0
32.0,Male,2.0,Master,Industrial Eng,Foreign,3.62,0.7,3.0,1.0,3.0,0.0,High,Data Scientist,1.0,4.0,0.0,High,0.0,Not Applicable,0.0
22.0,Male,0.0,,CS,Foreign,3.57,2.0,2.0,0.0,3.0,0.0,Low,PM,1.0,4.0,0.0,Medium,1.0,Exempt,0.0
29.0,Male,0.0,Bachelor,Economics,SKY,3.72,-0.6,4.0,1.0,2.0,1.0,Low,Data Analyst,2.0,7.0,1.0,Medium,0.0,Complete,0.0
30.0,Male,4.0,Bachelor,Business,Top10,3.66,2.2,2.0,0.0,2.0,0.0,Medium,Data Scientist,,4.0,1.0,High,0.0,,0.0
31.0,Male,4.0,Master,Industrial Eng,Regional,3.77,1.2,1.0,1.0,1.0,0.0,High,Data Scientist,1.0,7.0,0.0,Medium,1.0,Not Applicable,0.0
27.0,Female,2.0,Bachelor,Business,Top10,3.14,2.8,5.0,0.0,1.0,0.0,Medium,PM,1.0,8.0,1.0,High,1.0,Complete,0.0
22.0,Male,4.0,Bachelor,Industrial Eng,Regional,3.7,-0.2,3.0,0.0,1.0,1.0,Low,Software Dev,1.0,6.0,1.0,Medium,1.0,Complete,0.0
29.0,Male,4.0,Bachelor,Business,Regional,3.75,2.3,2.0,0.0,1.0,1.0,High,Data Scientist,1.0,6.0,1.0,High,0.0,Not Applicable,1.0
23.0,Female,6.0,Bachelor,Business,SKY,3.37,1.8,5.0,0.0,2.0,0.0,Medium,Data Scientist,1.0,6.0,1.0,Medium,0.0,Not Applicable,1.0
29.0,Female,2.0,Master,CS,Top10,3.28,1.4,1.0,1.0,2.0,1.0,High,Data Scientist,2.0,4.0,1.0,Low,0.0,Not Applicable,0.0
33.0,Male,4.0,Bachelor,Industrial Eng,SKY,3.44,0.6,1.0,1.0,1.0,1.0,Low,Software Dev,1.0,6.0,1.0,Medium,0.0,Complete,0.0
24.0,Male,2.0,Bachelor,Data Science,Regional,,2.4,3.0,1.0,0.0,1.0,Low,Software Dev,1.0,9.0,1.0,High,1.0,Exempt,1.0
26.0,Female,2.0,Bachelor,CS,Other,3.55,3.0,5.0,1.0,1.0,0.0,Low,PM,1.0,4.0,1.0,Low,0.0,Exempt,0.0
34.0,Male,2.0,Bachelor,Data Science,Foreign,3.51,2.3,4.0,1.0,1.0,1.0,Low,Data Analyst,2.0,6.0,0.0,Medium,1.0,Not Applicable,0.0
33.0,Female,3.0,Bachelor,Economics,Foreign,3.35,2.0,3.0,1.0,1.0,0.0,Medium,Data Analyst,1.0,5.0,1.0,High,0.0,Complete,0.0
29.0,Male,2.0,Master,CS,Foreign,3.45,1.8,3.0,1.0,1.0,1.0,Low,PM,1.0,,0.0,Medium,0.0,Complete,0.0
28.0,Male,2.0,Bachelor,,Other,3.22,2.6,,1.0,2.0,1.0,Low,Data Scientist,1.0,7.0,1.0,,0.0,Complete,1.0
31.0,Male,0.0,Bachelor,Industrial Eng,Other,3.93,1.3,2.0,1.0,1.0,1.0,Medium,PM,1.0,6.0,1.0,Medium,1.0,Not Applicable,0.0
26.0,Male,3.0,Bachelor,CS,Regional,3.49,2.0,4.0,1.0,,1.0,High,Data Analyst,1.0,9.0,1.0,Low,0.0,Exempt,1.0
32.0,Male,0.0,Bachelor,Economics,Other,3.33,3.1,5.0,1.0,0.0,1.0,Low,PM,1.0,5.0,,Low,0.0,Exempt,0.0
,Male,3.0,Master,CS,Regional,3.47,2.7,4.0,0.0,2.0,1.0,Medium,Data Analyst,1.0,4.0,1.0,Medium,1.0,Exempt,0.0
34.0,Female,1.0,PhD,Economics,Top10,3.88,2.3,5.0,1.0,1.0,1.0,Low,PM,1.0,8.0,1.0,Low,1.0,Complete,1.0
30.0,Female,5.0,Bachelor,Economics,Foreign,3.13,2.7,1.0,1.0,1.0,1.0,Low,Data Analyst,2.0,7.0,0.0,Medium,0.0,Not Applicable,0.0
22.0,Male,5.0,Bachelor,Data Science,Top10,,0.9,2.0,1.0,2.0,1.0,Medium,PM,1.0,8.0,1.0,Medium,0.0,Exempt,1.0
22.0,Female,5.0,Bachelor,,Foreign,3.78,2.7,5.0,1.0,3.0,0.0,High,Data Analyst,2.0,9.0,1.0,Medium,0.0,Not Applicable,1.0
25.0,Male,4.0,Bachelor,Data Science,SKY,3.8,1.4,4.0,1.0,1.0,0.0,Medium,Data Analyst,1.0,8.0,1.0,Medium,,Exempt,1.0
22.0,Male,4.0,Master,Data Science,Regional,3.85,,5.0,0.0,1.0,0.0,High,Data Analyst,2.0,7.0,1.0,High,0.0,Complete,1.0
